card_name,match_id,elixir,rarity,is_champion,has_evolution,evolution_tiers,evolution_name,has_hero,hero_tiers,hero_name,roles,role_confidence,notes
Archer,26000001.0,3.0,Common,False,True,1,Archer (Evolved),False,0,,air_defense;support_ranged,confirmed,"Archers hit air+ground, 5-tile range backline DPS"
Archer Queen,26000072.0,5.0,Champion,True,False,0,,False,0,,support_ranged;air_defense;swarm_clear,confirmed,"Ranged Champion, cloak ability boosts speed and splashes swarms"
Arrows,28000001.0,3.0,Common,False,False,0,,False,0,,spell_small;swarm_clear,confirmed,"3-elixir spell that wipes Skeleton Army, Goblin Gang, Minion Horde"
Baby Dragon,26000015.0,4.0,Epic,False,True,1,Baby Dragon (Evolved),False,0,,flying;air_defense;swarm_clear,confirmed,"Airborne splash troop; clears swarms, hits air+ground"
Balloon,26000006.0,5.0,Epic,False,False,0,,True,2,Hero Balloon,win_condition;building_targeted_only;flying,confirmed,"Airborne, building-only attacker; main tower-damage win condition"
Bandit,26000046.0,3.0,Legendary,False,False,0,,False,0,,tank_killer,unconfirmed,"Dash burst mainly snipes squishy/support troops, not true tanks"
Barbarian,26000008.0,5.0,Common,False,True,1,Barbarian (Evolved),False,0,,mini_tank,confirmed,"Classic mini-tank, ground-only melee"
Barbarian Barrel,28000015.0,2.0,Epic,False,False,0,,True,2,Hero Barbarian Barrel,spell_small;swarm_clear,confirmed,"2-elixir rolling spell clears swarms, then spawns a Barbarian"
Barbarian Hut,27000005.0,6.0,Rare,False,False,0,,False,0,,spawner,confirmed,7-elixir building spawning paired Barbarians for lane pressure
Bat,26000049.0,2.0,Common,False,True,1,Bat (Evolved),False,0,,flying;air_defense;cycle,confirmed,"2-elixir flying swarm; melee air/ground hits, cheap deck-cycling"
Battle Healer,26000068.0,4.0,Rare,False,False,0,,False,0,,mini_tank,confirmed,Melee mini-tank that heals herself and nearby troops each attack
Battle Ram,26000036.0,4.0,Rare,False,True,1,Battle Ram (Evolved),False,0,,building_targeted_only;win_condition,confirmed,Building-only charger breaking into Barbarians; bridge-spam win condition
Berserker,26000102.0,2.0,Common,False,False,0,,True,2,Hero Berserker,mini_tank;swarm_clear,unconfirmed,"832 HP, 0.5s hit speed; explicitly good vs small swarms/medium troops (Gamerant/StatsRoyale)"
Bomb Tower,27000004.0,4.0,Rare,False,False,0,,False,0,,swarm_clear,confirmed,Defensive building whose splash damage shreds ground swarms; no air
Bomber,26000013.0,2.0,Common,False,True,1,Bomber (Evolved),False,0,,swarm_clear;cycle,confirmed,"2-elixir splash troop, excellent vs ground swarms, cheap to recycle"
Boss Bandit,26000103.0,6.0,Champion,True,False,0,,False,0,,mini_tank,confirmed,"High-HP dash/teleport Champion, functions as mini-tank"
Bowler,26000034.0,5.0,Epic,False,False,0,,True,2,Hero Bowler,swarm_clear;mini_tank,confirmed,"Slow knockback splash shot denies ground swarms, high HP"
Cannon,27000000.0,3.0,Common,False,True,1,Cannon (Evolved),False,0,,tank_killer,unconfirmed,"Ground-only defensive building vs single melee threats; no air, no splash"
Cannon Cart,26000054.0,5.0,Epic,False,False,0,,False,0,,mini_tank;tank_killer,confirmed,"Mobile shielded cannon, high single-target DPS melts tanks"
Cannoneer,,0.0,Epic,False,False,0,,False,0,,,confirmed,"Tower Troop (King Tower skin), not a deck card"
Clone,28000013.0,3.0,Epic,False,False,0,,False,0,,spell_utility,confirmed,3-elixir spell duplicates friendly troops as fragile 1-HP copies
Dagger Duchess,,0.0,Legendary,False,False,0,,False,0,,,confirmed,"Tower Troop (King Tower skin), not a deck card"
Dark Prince,26000027.0,4.0,Epic,False,False,0,,True,2,Hero Dark Prince,mini_tank;swarm_clear,confirmed,"Shielded charger dealing 360 area damage, high HP frontline troop"
Dart Goblin,26000040.0,3.0,Rare,False,True,1,Dart Goblin (Evolved),False,0,,support_ranged;air_defense;bait,confirmed,Long-range 6.5-tile sniper behind tanks; Log Bait deck staple
Earthquake,28000014.0,3.0,Rare,False,False,0,,False,0,,spell_small;spell_utility,confirmed,"3-elixir spell: bonus building damage, slows troops; tower chip"
Electro Dragon,26000063.0,5.0,Epic,False,True,1,Electro Dragon (Evolved),False,0,,flying;air_defense;swarm_clear,confirmed,"Flying chain-lightning splash troop; stuns/clears swarms, hits air"
Electro Giant,26000085.0,7.0,Epic,False,False,0,,False,0,,win_condition;tank;building_targeted_only,confirmed,"8-elixir beatdown tank, building-only, reflects zap damage to attackers"
Electro Spirit,26000084.0,1.0,Common,False,False,0,,False,0,,cycle;air_defense;swarm_clear,confirmed,"1-elixir troop, chain-stuns up to 8 targets including air"
Electro Wizard,26000042.0,4.0,Legendary,False,False,0,,False,0,,support_ranged;air_defense,confirmed,"Ranged stun support troop, hits 2 targets, air-targeting"
Elite Barbarian,26000043.0,6.0,Common,False,False,0,,False,0,,win_condition;tank_killer;mini_tank,confirmed,Two fast high-damage troops; ground tank killers/win condition
Elixir Collector,27000007.0,6.0,Rare,False,False,0,,False,0,,,confirmed,Pure resource building generating elixir; no fixed tag fits it
Elixir Golem,26000067.0,3.0,Rare,False,False,0,,False,0,,win_condition;tank;building_targeted_only,confirmed,High-HP building-only troop that splits into golemites on death
Executioner,26000045.0,5.0,Epic,False,True,1,Executioner (Evolved),False,0,,swarm_clear;air_defense,confirmed,"Boomerang axe splash hits air+ground twice, counters swarms"
Fire Spirit,26000031.0,1.0,Common,False,False,0,,False,0,,cycle;air_defense;swarm_clear,confirmed,1-elixir suicide splash troop hitting air+ground; wipes cheap swarms
Fireball,28000000.0,4.0,Rare,False,False,0,,False,0,,spell_big,confirmed,"4-elixir medium-radius spell, heavy damage, chips or finishes towers"
Firecracker,26000064.0,3.0,Common,False,True,1,Firecracker (Evolved),False,0,,support_ranged;air_defense;swarm_clear,confirmed,"6-range shrapnel splash hits air+ground, recoils after each shot"
Fisherman,26000061.0,3.0,Legendary,False,False,0,,False,0,,support_ranged,unconfirmed,"Melee troop with 7-tile hook pull; utility card, no clean tag"
Flying Machine,26000057.0,4.0,Rare,False,False,0,,False,0,,flying;air_defense;support_ranged,confirmed,"Flying ranged troop, hits air+ground, supports pushes from behind"
Freeze,28000005.0,4.0,Epic,False,False,0,,False,0,,spell_utility,confirmed,"4-elixir spell stuns enemies 4s, low damage, defensive reset tool"
Furnace,27000010.0,4.0,Rare,False,True,1,Furnace (Evolved),False,0,,spawner;air_defense;support_ranged,confirmed,Reworked into ranged troop hitting air + spawns Fire Spirits
Giant,26000003.0,5.0,Rare,False,False,0,,True,2,Hero Giant,win_condition;tank;building_targeted_only,confirmed,High-HP building-only tank; classic beatdown win condition
Giant Skeleton,26000020.0,6.0,Epic,False,False,0,,False,0,,tank,confirmed,"Very high-HP frontline troop, drops death bomb on defeat"
Giant Snowball,28000017.0,2.0,Common,False,True,1,Giant Snowball (Evolved),False,0,,spell_small;swarm_clear;spell_utility,confirmed,"2-elixir spell; knocks back, slows, and wipes weak swarms"
Goblin Barrel,28000004.0,3.0,Epic,False,True,1,Goblin Barrel (Evolved),False,0,,win_condition;bait,confirmed,3 Goblins dropped near tower; core Log Bait win condition
Goblin Cage,27000012.0,4.0,Rare,False,True,1,Goblin Cage (Evolved),False,0,,bait;spawner,unconfirmed,Baits building-targeting troops; releases Goblin Brawler once destroyed/expired
Goblin Curse,28000024.0,2.0,Epic,False,False,0,,False,0,,spell_small;spell_utility,confirmed,2-elixir DOT spell converts dying troops into stat Goblins
Goblin Demolisher,26000095.0,4.0,Rare,False,False,0,,False,0,,win_condition;swarm_clear,confirmed,"Area-damage ranged siege troop, charges buildings below 50% HP"
Goblin Drill,27000013.0,4.0,Epic,False,True,1,Goblin Drill (Evolved),False,0,,win_condition;spawner,confirmed,"Underground building deployed anywhere, spawns Goblins, chips tower"
Goblin Gang,26000041.0,3.0,Common,False,False,0,,False,0,,bait;air_defense,confirmed,Baits Log/Arrows; Spear Goblins inside can hit air units
Goblin Giant,26000060.0,6.0,Epic,False,True,1,Goblin Giant (Evolved),False,0,,tank;win_condition;building_targeted_only,confirmed,High-HP building-only tank carrying two Spear Goblins
Goblin Hut,27000001.0,4.0,Rare,False,False,0,,False,0,,spawner,confirmed,Building spawning Spear Goblins roughly every 5 seconds
Goblin Machine,26000096.0,5.0,Legendary,False,False,0,,False,0,,tank;win_condition,confirmed,"High-HP melee/rocket hybrid, tanks while chipping the tower"
Goblins,26000002.0,2.0,Common,False,False,0,,True,2,Hero Goblins,cycle;bait,confirmed,Four 2-elixir melee units; cheap cycle card that baits spells
Goblinstein,26000099.0,5.0,Champion,True,False,0,,False,0,,tank;building_targeted_only;support_ranged,confirmed,Champion spawns building-only tank Monster plus ranged stunning Doctor
Golden Knight,26000074.0,4.0,Champion,True,False,0,,False,0,,win_condition;mini_tank;swarm_clear,confirmed,Champion dashes through/chains up to 10 troops
Golem,26000009.0,8.0,Epic,False,False,0,,False,0,,tank;win_condition;building_targeted_only,confirmed,Massive-HP building-only tank; splits into Golemites on death
Graveyard,28000010.0,5.0,Legendary,False,False,0,,False,0,,win_condition;spell_big,confirmed,5-elixir legendary spell spawning skeletons at tower; chip win condition
Guard,26000025.0,3.0,Epic,False,False,0,,False,0,,bait;mini_tank,confirmed,"3 shielded units bait Zap/Log/Poison, briefly soak hits"
Heal Spirit,28000016.0,1.0,Rare,False,False,0,,False,0,,cycle,confirmed,1-elixir troop that heals nearby troops; cheap cycling tool
Hog Rider,26000021.0,4.0,Rare,False,False,0,,False,0,,win_condition;building_targeted_only,confirmed,"Fast building-only tower rusher, staple of cycle win decks"
Hunter,26000044.0,4.0,Epic,False,True,1,Hunter (Evolved),False,0,,tank_killer;swarm_clear,confirmed,"Short-range shotgun troop; melts tanks up close, splashes groups"
Ice Golem,26000038.0,2.0,Rare,False,False,0,,True,2,Hero Ice Golem,mini_tank;building_targeted_only;cycle,confirmed,"Cheap building-only mini-tank; explodes, slowing enemies on death"
Ice Spirit,26000030.0,1.0,Common,False,True,1,Ice Spirit (Evolved),False,0,,cycle;air_defense,confirmed,"1-elixir stun troop hitting air+ground, cheap cycling utility"
Ice Wizard,26000023.0,3.0,Legendary,False,False,0,,True,2,Hero Ice Wizard,support_ranged;air_defense;swarm_clear,confirmed,Ranged splash troop that slows enemies; defends air and clears swarms
Inferno Dragon,26000037.0,4.0,Legendary,False,True,1,Inferno Dragon (Evolved),False,0,,tank_killer;flying;air_defense,confirmed,"Ramping single-target beam melts tanks; airborne, air-targeting"
Inferno Tower,27000003.0,5.0,Rare,False,False,0,,False,0,,air_defense;tank_killer,confirmed,"Building, ramping damage over time, melts tanks; hits air and ground"
Knight,26000000.0,3.0,Common,False,True,3,Knight (Evolved),True,3,Hero Knight,mini_tank,confirmed,"Cheap 3-elixir all-rounder, widely ranked among best mini-tanks"
Lava Hound,26000029.0,7.0,Legendary,False,False,0,,False,0,,win_condition;tank;flying;building_targeted_only,confirmed,"Only flying tank, targets buildings only, shields air beatdown"
Lightning,28000007.0,6.0,Epic,False,False,0,,False,0,,spell_big,confirmed,"6-elixir spell hits/stuns 3 highest-HP targets, sniping/finishing"
Little Prince,26000093.0,3.0,Champion,True,False,0,,False,0,,support_ranged;air_defense,confirmed,"Ranged Champion hits air+ground, summons tanky Guardian ally"
Lumberjack,26000035.0,4.0,Legendary,False,True,1,Lumberjack (Evolved),False,0,,mini_tank;spell_utility,confirmed,Fast high-HP/damage troop; spawns a Rage spell on death
Magic Archer,26000062.0,4.0,Legendary,False,False,0,,True,2,Hero Magic Archer,support_ranged;air_defense,confirmed,"Piercing arrow line-damage, placed behind tanks for backline support"
Mega Knight,26000055.0,7.0,Legendary,False,True,1,Mega Knight (Evolved),False,0,,tank;swarm_clear,confirmed,High-HP splash tank; 360 landing hit plus jump attack clears swarms
Mega Minion,26000039.0,3.0,Rare,False,False,0,,True,2,Hero Mega Minion,flying;air_defense;support_ranged,confirmed,Flying support troop hitting air and ground; strong defense behind tanks
